acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.667,gary us bonds,387.0,twist twist senora,0.659,157893.0,0.819,0.0,1u7zJy4RUSXclRhswkA6RT,0.0155,10.0,0.843,-7.747,1.0,14.0,1998-01-01,0.0453,The Very Best Of Gary U.S. Bonds (The Original Legrand Masters),Gary U.S. Bonds,"Twist, Twist Senora",93.396,4.0,audio_features,spotify:track:1u7zJy4RUSXclRhswkA6RT,0.858
0.507,dee dee sharp,389.0,gravy for my mashed potatoes,0.793,128093.0,0.798,0.0,2ZxzsmJ093WPTBbsoCf6CN,2.09e-06,2.0,0.203,-5.62,1.0,40.0,1962-01-01,0.0335,It's Mashed Potato Time/Do The Bird,Dee Dee Sharp,Gravy (For My Mashed Potatoes),129.964,4.0,audio_features,spotify:track:2ZxzsmJ093WPTBbsoCf6CN,0.97
0.471,jimmy smith,390.0,walk on the wild side,0.484,357760.0,0.546,0.0,6gcH3Y7eKhNqj58nK4UqJ4,0.127,5.0,0.0867,-8.62,1.0,9.0,2020-12-18,0.035,Nyårsfest – Jazz,Jimmy Smith,Walk On The Wild Side,111.132,3.0,audio_features,spotify:track:6gcH3Y7eKhNqj58nK4UqJ4,0.474
0.674,king curtis,391.0,soul twist,0.663,167426.0,0.701,0.0,2EFFu2hMwGZFjf8NaAMC4J,0.29,4.0,0.0971,-12.224,1.0,12.0,2006-08-24,0.0762,King Of The Sax,King Curtis,Soul Twist,123.875,4.0,audio_features,spotify:track:2EFFu2hMwGZFjf8NaAMC4J,0.746
0.729,bobby rydell,392.0,ill never dance again,0.586,149360.0,0.431,0.0,5fxChRcnmyk2en0r5YMF6E,0.0,0.0,0.263,-5.675,1.0,43.0,2005-10-18,0.0271,The Best Of Bobby Rydell,Bobby Rydell,I'll Never Dance Again,104.757,4.0,audio_features,spotify:track:5fxChRcnmyk2en0r5YMF6E,0.582
0.657,the ikettes,393.0,im blue the gong gong song,0.666,153373.0,0.385,0.0,0tgwJKFJ7Itl5d386q5QkJ,0.055,8.0,0.0734,-8.166,0.0,34.0,2004-03-23,0.0323,"Beg, Scream & Shout!: Vol. 3",The Ikettes,I'm Blue (The Gong Gong Song),111.045,4.0,audio_features,spotify:track:0tgwJKFJ7Itl5d386q5QkJ,0.904
0.913,the kingston trio,394.0,where have all the flowers gone,0.605,184293.0,0.125,0.0,4C3jDWATqX5n4xaRO8wZOF,4.37e-06,10.0,0.205,-20.93,1.0,47.0,1990-06-18,0.034,The Capitol Collector's Series,The Kingston Trio,Where Have All The Flowers Gone? - Remastered,130.907,4.0,audio_features,spotify:track:4C3jDWATqX5n4xaRO8wZOF,0.623
0.266,eddie hodges,395.0,girls girls girls made to love,0.701,146965.0,0.537,0.0,4RznSsSGNjiWTQ5Dht56LX,0.0,9.0,0.0523,-5.459,1.0,9.0,2019-07-09,0.0473,Extended Play Collection,Eddie Hodges,(Girls Girls Girls) Made to Love,89.008,4.0,audio_features,spotify:track:4RznSsSGNjiWTQ5Dht56LX,0.494
0.599,gene pitney,396.0,town without pity,0.494,174000.0,0.535,0.0,67UXizE2cmFVVDPU4Gl17A,5.08e-05,7.0,0.0623,-6.423,1.0,39.0,1972,0.0293,Super Hits,Gene Pitney,Town Without Pity,120.617,3.0,audio_features,spotify:track:67UXizE2cmFVVDPU4Gl17A,0.689
0.326,peter paul and mary,397.0,if i had a hammer,0.628,121053.0,0.423,0.0,6R9LiK1WhfnTvFsVfusdQl,0.0,9.0,0.16,-11.231,1.0,50.0,2005-08-23,0.0365,"The Very Best of Peter, Paul and Mary","Peter, Paul and Mary",If I Had a Hammer - 2004 Remaster,100.082,4.0,audio_features,spotify:track:6R9LiK1WhfnTvFsVfusdQl,0.353
0.844,ronnie and the hi lites,398.0,i wish that we were married,0.521,172067.0,0.422,0.0,0I4GId05Rsx9367OcyG5ij,1.94e-06,11.0,0.201,-8.772,1.0,12.0,2018-01-19,0.0276,I Wish That We Were Married,Ronnie & The Hi-Lites,I Wish That We Were Married,100.954,3.0,audio_features,spotify:track:0I4GId05Rsx9367OcyG5ij,0.155
0.795,the beach boys,399.0,surfin safari,0.542,126640.0,0.785,0.0,4kIYRtgbZyPzAWSFLdlajW,2.3e-05,9.0,0.102,-5.251,1.0,51.0,1962-10-01,0.0439,Surfin' Safari (Remastered),The Beach Boys,Surfin' Safari - Mono/Remastered 2001,158.37,4.0,audio_features,spotify:track:4kIYRtgbZyPzAWSFLdlajW,0.967
0.661,the beach boys,400.0,surfin usa,0.55,149373.0,0.854,0.0,0wz1LjDb9ZNEYwOmDJ3Q4b,0.0,3.0,0.112,-5.968,1.0,73.0,1963-03-25,0.036,Surfin' USA (Remastered),The Beach Boys,Surfin' U.S.A. - Remastered,159.231,4.0,audio_features,spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b,0.965
0.936,skeeter davis,401.0,the end of the world,0.232,157573.0,0.216,0.0,5DTOOkooKFUvWj1XQTFa09,4.93e-06,10.0,0.246,-10.674,1.0,64.0,1994-05-23,0.0314,The Essential Skeeter Davis,Skeeter Davis,The End of the World,94.268,3.0,audio_features,spotify:track:5DTOOkooKFUvWj1XQTFa09,0.432
0.627,the cascades,402.0,rhythm of the rain,0.659,146360.0,0.66,0.0,7GHf8dQ2wA71wYOuRsQCZP,0.000217,0.0,0.136,-8.337,1.0,62.0,1963,0.0441,Rhythm Of The Rain,The Cascades,Rhythm of the Rain,116.634,4.0,audio_features,spotify:track:7GHf8dQ2wA71wYOuRsQCZP,0.672
0.487,the chiffons,403.0,hes so fine,0.558,112520.0,0.633,0.0,2Bs1Lw9LX8hBm70t1iGdlh,0.0,7.0,0.129,-3.265,1.0,54.0,2004-10-02,0.0329,The Chiffons Absolutely The Best!,The Chiffons,He's So Fine - Remastered 2000,72.494,4.0,audio_features,spotify:track:2Bs1Lw9LX8hBm70t1iGdlh,0.871
0.862,bobby vinton,404.0,blue velvet,0.376,168093.0,0.246,0.0,4QelFzhVgLomeQhvKrwM1S,0.0,10.0,0.155,-9.803,1.0,60.0,1962,0.0286,The Best Of Bobby Vinton,Bobby Vinton,Blue Velvet,80.167,1.0,audio_features,spotify:track:4QelFzhVgLomeQhvKrwM1S,0.282
0.84,paul and paula,405.0,hey paula,0.431,146945.0,0.283,0.0,4u4In6wNqXEWJnoI8KbUIf,0.155,7.0,0.199,-11.691,1.0,47.0,1990-07-11,0.031,60's Rock,Paul & Paula,Hey Paula,110.328,3.0,audio_features,spotify:track:4u4In6wNqXEWJnoI8KbUIf,0.31
0.622,stevie wonder,406.0,fingertips,0.35,190213.0,0.873,0.0,6SvMoVRctg7Z3jDtlYIYlL,0.242,7.0,0.673,-7.241,0.0,43.0,2019-10-25,0.39,Mono Singles,Stevie Wonder,"Fingertips, Pt. 2 - Live/1962",136.696,4.0,audio_features,spotify:track:6SvMoVRctg7Z3jDtlYIYlL,0.346
